Timestamp,Event,Value,Predicted_Crash
2026-08-15 14:09:10,Live Multiplier,44.09,
2026-08-15 14:09:10,Crash,44.17,
2026-08-15 14:09:10,Crash,44.17,
2026-08-15 14:09:13,Round Start,,0
2026-08-15 14:09:13,Round Start,,0
2026-08-15 14:09:13,Round Start,,0
2026-08-15 14:09:19,Live Multiplier,1,
2026-08-15 14:09:19,Live Multiplier,1,
2026-08-15 14:09:19,Live Multiplier,1,
2026-08-15 14:09:19,Live Multiplier,1.01,
2026-08-15 14:09:19,Live Multiplier,1.01,
2026-08-15 14:09:19,Live Multiplier,1.01,
2026-08-15 14:09:19,Live Multiplier,1.02,
2026-08-15 14:09:19,Live Multiplier,1.02,
2026-08-15 14:09:19,Live Multiplier,1.02,
2026-08-15 14:09:19,Live Multiplier,1.03,
2026-08-15 14:09:19,Live Multiplier,1.03,
2026-08-15 14:09:19,Live Multiplier,1.03,
2026-08-15 14:09:19,Live Multiplier,1.04,
2026-08-15 14:09:19,Live Multiplier,1.04,
2026-08-15 14:09:19,Live Multiplier,1.04,
2026-08-15 14:09:19,Live Multiplier,1.04,
2026-08-15 14:09:19,Live Multiplier,1.04,
2026-08-15 14:09:19,Live Multiplier,1.04,
2026-08-15 14:09:19,Live Multiplier,1.05,
2026-08-15 14:09:19,Live Multiplier,1.05,
2026-08-15 14:09:19,Live Multiplier,1.05,
2026-08-15 14:09:20,Live Multiplier,1.06,
2026-08-15 14:09:20,Live Multiplier,1.06,
2026-08-15 14:09:20,Live Multiplier,1.06,
2026-08-15 14:09:20,Live Multiplier,1.07,
2026-08-15 14:09:20,Live Multiplier,1.07,
2026-08-15 14:09:20,Live Multiplier,1.07,
2026-08-15 14:09:20,Live Multiplier,1.08,
2026-08-15 14:09:20,Live Multiplier,1.08,
2026-08-15 14:09:20,Live Multiplier,1.08,
2026-08-15 14:09:20,Live Multiplier,1.09,
2026-08-15 14:09:20,Live Multiplier,1.09,
2026-08-15 14:09:20,Live Multiplier,1.09,
2026-08-15 14:09:20,Live Multiplier,1.1,
2026-08-15 14:09:20,Live Multiplier,1.1,
2026-08-15 14:09:20,Live Multiplier,1.1,
